event_key,company,label,artist_id,artist,activity_type,event_name,event_dates,cities,venues,first_seen,last_seen,status,primary_url,source_type,official_verified,score,supporting_article_count,related_urls
f274f1e74e1c22ad808e3925,SM,3세대 그룹,red_velvet,Red Velvet,FANMEETING,"레드벨벳, 31일 팬콘 …신곡 '서핀 보이' 최초 공개",2026-08-02,서울,벳이 팬콘에서 신곡 무대를 최초 공개한다. 레드벨벳은 오는 31일부터 다음 달 2일까지 서울 고려대학교 화정체육관,2026-07-29T15:29:05.281429+09:00,2026-07-30T08:34:14.461327+09:00,EXISTING_SCHEDULE,http://www.dispatch.co.kr/2345754,NAVER_NEWS,N/A,70,1,
3dd4de9485a437e7b7984507,JYP,4세대 그룹,stray_kids,Stray Kids,COMEBACK,"스트레이 키즈, 새 앨범도 3RACHA 프로듀싱…‘음악 스토리텔러’ 입증",2026-08-07,,,2026-07-29T15:29:05.281429+09:00,2026-07-30T08:34:14.461327+09:00,EXISTING_SCHEDULE,https://www.newsen.com/news_view.php?uid=202607291148012410,NAVER_NEWS,N/A,66,2,https://www.cbci.co.kr/news/articleView.html?idxno=592744
e68159ea4d1c5d192ddd4f26,HYBE,빅히트 뮤직,bts,BTS (방탄소년단),COMEBACK,"BTS 효과 톡톡…하이브, 2분기 매출 1조4500억원 달성",,뉴욕,미국 뉴욕 뉴저지 스타디움,2026-07-29T15:29:05.281429+09:00,2026-07-29T16:08:33.427464+09:00,EXISTING_SCHEDULE,https://www.newsis.com/view/NISX20260728_0003726594,NAVER_NEWS,N/A,72,10,https://www.newstree.kr/newsView/ntr202607290012|https://www.fntimes.com/html/view.php?ud=20260729075859357608579a3016_18|https://www.segye.com/newsView/20260728517690?OutUrl=naver|https://biz.heraldcorp.com/article/10823430?ref=naver|http://www.fnnews.com/news/202607281834350906|https://www.seoul.co.kr/news/life/pop-culture/2026/07/28/20260728500269?wlog_tag3=naver|https://news.sbs.co.kr/news/endPage.do?news_id=N1008679130&plink=ORI&cooper=NAVER|https://www.sidae.com/article/2026072816222657566|https://www.businessplus.kr/news/articleView.html?idxno=114729
f60084d8033956c80972e493,HYBE,빅히트 뮤직,bts,BTS (방탄소년단),COMEBACK,"하이브, BTS →올해 2분기 사상 최대 실적에도 주가 하락한 이유?",,,,2026-07-29T15:29:05.281429+09:00,2026-07-29T16:08:33.427464+09:00,EXISTING_SCHEDULE,https://www.topstarnews.net/news/articleView.html?idxno=16148199,NAVER_NEWS,N/A,66,1,
2db3504f310453fe0cde6d20,HYBE,빅히트 뮤직,bts,BTS (방탄소년단),COMEBACK,"BTS 효과?...하이브, 2분기 매출 사상 첫 1조 돌파",,,,2026-07-30T08:34:14.461327+09:00,2026-07-30T08:34:14.461327+09:00,EXISTING_SCHEDULE,https://www.newstree.kr/newsView/ntr202607290012,NAVER_NEWS,N/A,66,1,
b8775a86f8a07d4816ce42f0,SM,3세대 그룹,nct_127,NCT 127,COMEBACK,"NCT 127, 마크 탈퇴 후 첫 ..'블링이' 스케줄 포스터 공개",,,,2026-07-29T15:29:05.281429+09:00,2026-07-30T08:34:14.461327+09:00,EXISTING_SCHEDULE,https://www.starnewskorea.com/music/2026/07/29/2026072910514533314,NAVER_NEWS,N/A,68,3,https://www.swtvnews.com/news/newsview.php?ncode=1065577422078732|https://www.heraldmuse.com/article/10823932?ref=naver
9d3cefc059b813c7cd3264a1,SM,3세대 그룹,nct_127,NCT 127,COMEBACK,"NCT 127, 정규 7집 'BLINGY' 카운트다운..""CALL 127""",,,,2026-07-29T15:29:05.281429+09:00,2026-07-30T08:34:14.461327+09:00,EXISTING_SCHEDULE,http://www.osen.co.kr/article/G1112848176,NAVER_NEWS,N/A,68,1,
d3ba5433f2a91fdaca74e5ef,SM,3세대 그룹,nct_127,NCT 127,COMEBACK,"엔시티 127, 정규 7집 스케줄 포스터… 출사표",,,,2026-07-29T15:29:05.281429+09:00,2026-07-30T08:34:14.461327+09:00,EXISTING_SCHEDULE,https://enter.etoday.co.kr/news/view/300348,NAVER_NEWS,N/A,66,1,
6ae0a0548d8374791ab544c3,SM,3세대 그룹,red_velvet,Red Velvet,COMEBACK,"레드벨벳 웬디, 앞두고…비 오는 날 우산 씌워줬으면 하는 여자 가...",,,,2026-07-29T15:29:05.281429+09:00,2026-07-29T16:08:33.427464+09:00,EXISTING_SCHEDULE,https://www.tenasia.co.kr/article/2026072812534,NAVER_NEWS,N/A,66,1,
94d18d5004a51ba66ad96d87,SM,2세대 그룹,super_junior,슈퍼주니어,TOUR_ANNOUNCEMENT,"슈퍼주니어 예성, 솔로 데뷔 10주년 아시아 투어 …서울서 포문",,서울,,2026-07-29T15:29:05.281429+09:00,2026-07-29T16:08:33.427464+09:00,EXISTING_SCHEDULE,https://news.jtbc.co.kr/article/NB12310614?influxDiv=NAVER,NAVER_NEWS,N/A,75,1,
